관리번호,설비번호(구),설비명,수리일자,고장내용,고장부품,불량유형,조치내용,수리처,수리시간(분),수리금액,predictions,labels
Z000000001,Z000000001,기타,2023-01-03,3공장렉 철거후 2공장으로 이동,3공장 렉,철거,2공장으로 이동,오정수이승희,480,,"{'고장부품': '3공장렉', '불량유형': '철거', '조치내용': '2공장으로 이동'}","{'고장부품': '3공장 렉', '불량유형': '철거', '조치내용': '2공장으로 이동'}"
Z000000001,Z000000001,기타,2023-01-03,CN7라인 천정 전등 교체,CN7라인 천정 전등,고장,전등 교체,송명호윤동태,180,,"{'고장부품': 'CN7라인 천정 전등', '불량유형': '고장', '조치내용': '전등 교체'}","{'고장부품': 'CN7라인 천정 전등', '불량유형': '고장', '조치내용': '전등 교체'}"
Z000000001,Z000000001,기타,2023-01-03,E4L 인너카바 리벳툴 진공이상 리벳 잔영물 제거 청소,E4L 인너카바 리벳툴,진공이상,리벳 잔영물 제거 청소,최혁진윤동태,30,,"{'고장부품': 'E4L 인너카바 리벳툴', '불량유형': '진공 이상', '조치내용': '리벳 잔영물 제거 및 청소'}","{'고장부품': 'E4L 인너카바 리벳툴', '불량유형': '진공이상', '조치내용': '리벳 잔영물 제거 청소'}"
Z000000001,Z000000001,기타,2023-01-03,전착도장 대차 제작중,전착도장 대차,,제작중,김정표오정수,140,,"{'고장부품': '전착도장 대차', '불량유형': '제작 중', '조치내용': '제작 중'}","{'고장부품': '전착도장 대차', '불량유형': nan, '조치내용': '제작중'}"
M000000038,ASM-029,조립기(DH 스위치 조립기),2023-01-04,#40 LH 트램스파 동작이상 전후진 솔밸브 단선 수리,#40 LH 트램스파 전후진 솔밸브,동작이상,단선 수리,송명호윤동태,150,,"{'고장부품': '#40 LH 트램스파', '불량유형': '동작이상', '조치내용': '전후진 솔밸브 단선 수리'}","{'고장부품': '#40 LH 트램스파 전후진 솔밸브', '불량유형': '동작이상', '조치내용': '단선 수리'}"
S000000011,CLT-002,쿨링타워100RT,2023-01-04,쿨맆펀프 1대 변경으로 변경및 쿨링타워 바닥 이끼제거,쿨마트펀프,고장,펀프 1대 교체 후 쿨링타워 바닥의 이끼 제거,윤동태,60,,"{'고장부품': '쿨 Pelosi 펀프', '불량유형': '변경', '조치내용': '바닥 이끼 제거 및 변경'}","{'고장부품': '쿨마트펀프', '불량유형': '고장', '조치내용': '펀프 1대 교체 후 쿨링타워 바닥의 이끼 제거'}"
M000000567,HON-008,AAF 검사기 1라인,2023-01-04,LH 파워 콘넥터 단선 재납땜,LH 파워 콘넥터,단선,재납땜,윤동태,60,,"{'고장부품': 'LH 파워 콘넥터', '불량유형': '단선', '조치내용': '재납땜'}","{'고장부품': 'LH 파워 콘넥터', '불량유형': '단선', '조치내용': '재납땜'}"
M000000190,POP-036,파워프레스250TON PRESS (B1),2023-01-04,안전1행정 안됨 압력 스위치 감도교정,안전1행정,작동 불능,압력 스위치 감도교정,송명호윤동태,180,,"{'고장부품': '압력 스위치', '불량유형': '안됨', '조치내용': '감도교정'}","{'고장부품': '안전1행정', '불량유형': '작동 불능', '조치내용': '압력 스위치 감도교정'}"
M000000226,RBT-043,헨드링로보트(A6호기),2023-01-04,진공용 압력센서 콘넥터 교체및 단선 수리,진공용 압력센서 콘넥터,단선,콘넥터 교체 및 단선 수리,송명호,50,,"{'고장부품': '진공용 압력센서 콘넥터', '불량유형': '단선', '조치내용': '콘넥터 교체 및 단선 수리'}","{'고장부품': '진공용 압력센서 콘넥터', '불량유형': '단선', '조치내용': '콘넥터 교체 및 단선 수리'}"
Z000000001,Z000000001,기타,2023-01-04,1공장 가설창고 문 손잡이 4곳 설치,1공장 가설창고 문 손잡이,불량 또는 없음,문 손잡이 4곳 설치,오정수 ,40,,"{'고장부품': '가설창고 문 손잡이', '불량유형': '설치 불량', '조치내용': '4곳 설치'}","{'고장부품': '1공장 가설창고 문 손잡이', '불량유형': '불량 또는 없음', '조치내용': '문 손잡이 4곳 설치'}"
Z000000001,Z000000001,기타,2023-01-04,2공장 3단렉 설치지원,3단렉,설치 문제,2공장에서의 설치 지원,오정수2공장장생기,200,,"{'고장부품': '2공장 3단렉', '불량유형': '설치 지원', '조치내용': '설치 지원'}","{'고장부품': '3단렉', '불량유형': '설치 문제', '조치내용': '2공장에서의 설치 지원'}"
Z000000001,Z000000001,기타,2023-01-04,스페어 1.2이탈력 검사대 전등교체,검사대 전등,스페어 1.2 이탈,전등 교체,윤동태,60,,"{'고장부품': '스페어 1.2', '불량유형': '이탈력', '조치내용': '검사대 전등 교체'}","{'고장부품': '검사대 전등', '불량유형': '스페어 1.2 이탈', '조치내용': '전등 교체'}"
Z000000001,Z000000001,기타,2023-01-04,외부 파렛트 대파 3대 수리,외부 파렛트,대파,3대 수리,오정수,60,,"{'고장부품': '외부 파렛트', '불량유형': '대파', '조치내용': '수리'}","{'고장부품': '외부 파렛트', '불량유형': '대파', '조치내용': '3대 수리'}"
Z000000001,Z000000001,기타,2023-01-04,외부 파렛트 대파 3대 수리,외부 파렛트,대파,3대 수리,오정수,60,,"{'고장부품': '외부 파렛트', '불량유형': '대파', '조치내용': '수리'}","{'고장부품': '외부 파렛트', '불량유형': '대파', '조치내용': '3대 수리'}"
Z000000001,Z000000001,기타,2023-01-04,파지보관소 문잡이 파손 용접 수리,파지보관소 문잡이,파손,용접 수리,오정수,50,,"{'고장부품': '파지보관소 문잡이', '불량유형': '파손', '조치내용': '용접 수리'}","{'고장부품': '파지보관소 문잡이', '불량유형': '파손', '조치내용': '용접 수리'}"
M000000039,ASM-030(시팅),조립기(SIDEMEMBER조립기),2023-01-05,"LH 원형 피이더 동작안됨 전자접촉기교체,LH부시이동이상 에어스피드 재고정조정","LH 원형 피이더, LH부시","동작 안 됨, 이동 이상","전자 접촉기 교체, 에어스피드 재고정 조정",윤동태,180,,"{'고장부품': '전자접촉기, LH부시', '불량유형': '동작 안됨, 이동 이상', '조치내용': '에어스피드 재고정조정'}","{'고장부품': 'LH 원형 피이더, LH부시', '불량유형': '동작 안 됨, 이동 이상', '조치내용': '전자 접촉기 교체, 에어스피드 재고정 조정'}"
M000000093,E-0407,파워프레스600TON PRESS (L2),2023-01-05,PLC 통신이상 2층->1층 통신케이블 포설,PLC,통신이상,2층부터 1층까지 통신케이블 포설,윤동태,60,,"{'고장부품': 'PLC', '불량유형': '통신이상', '조치내용': '2층->1층 통신케이블 포설'}","{'고장부품': 'PLC', '불량유형': '통신이상', '조치내용': '2층부터 1층까지 통신케이블 포설'}"
M000000365,IMM-027,수평사출기전동사출기650톤,2023-01-05,호퍼로더 작동이상 트랜스 교체,호퍼로더,작동이상,트랜스 교체,윤동태2공장생기,120,,"{'고장부품': '호퍼로더', '불량유형': '작동 이상', '조치내용': '트랜스 교체'}","{'고장부품': '호퍼로더', '불량유형': '작동이상', '조치내용': '트랜스 교체'}"
M000000184,POP-030,파워프레스1000TON PRESS(L3),2023-01-05,QDC 오일 누유 수리 호스 조임,QDC 오일,누유,수리 호스 조임,오정수,30,,"{'고장부품': 'QDC 오일', '불량유형': '누유', '조치내용': '수리 호스 조임'}","{'고장부품': 'QDC 오일', '불량유형': '누유', '조치내용': '수리 호스 조임'}"
M000000191,POP-037,파워프레스250TON PRESS (B2),2023-01-05, 안전1행정 이상 스위치기판 릴레이교체,스위치기판 릴레이,이상,릴레이 교체,오정수,40,,"{'고장부품': '스위치기판 릴레이', '불량유형': '안전1행정 이상', '조치내용': '릴레이 교체'}","{'고장부품': '스위치기판 릴레이', '불량유형': '이상', '조치내용': '릴레이 교체'}"
